F,O2,O4,O6,O8
5.48239098071593,0.639156550561776,0.568302807242811,0.497820019035542,0.4305549944032
5.74076810748441,0.603860898022954,0.497773944879136,0.398739194136454,0.312860384917275
6.01132217308706,0.568237621763993,0.430436159133243,0.312786399621108,0.221746948721554
6.29462705897084,0.532695848316418,0.368334735995444,0.241965662395933,0.155067469265396
6.59128369278204,0.497616777556609,0.312623507698479,0.185534530558682,0.107690007499338
6.90192132301442,0.463338769300872,0.263695165968586,0.141493594659833,0.0745238027787616
7.22719885372964,0.430147589216385,0.2214001353268,0.107550198312165,0.05147629888482
7.56780624218104,0.398271809340746,0.185260761049567,0.0815831814946176,0.0355189584750172
7.92446596230557,0.367882707926777,0.154638096875584,0.0618055185016336,0.0244914302042684
8.2979345371878,0.339097638554404,0.128844208422478,0.0467815088312451,0.0168786650245741
8.68900414374688,0.311985726229336,0.107209329831952,0.0353868779479153,0.0116266989373293
9.09850429304992,0.286574831415253,0.0891171266478148,0.0267536745267934,0.00800518385857522
9.52730358981624,0.262858919459398,0.0740196427903331,0.0202172091847999,0.00550900772381275
9.9763115748444,0.240805208639814,0.0614403472503571,0.0152707984067859,0.00378919305943869
10.4464806542702,0.220360695915224,0.0509707995352576,0.0115292387930457,0.00260478087887996
10.9388081197478,0.201457846302748,0.04226430757178,0.00870014612646544,0.00178946531886572
11.4543382638389,0.184019371340742,0.035028523062153,0.00656180459930896,0.00122850387689461
11.9941645950975,0.167962115795235,0.0290180277367223,0.00494619133692555,0.00084275527851678
12.5594321575479,0.153200128158432,0.0240274339816315,0.0037260285126116,0.000577650984249101
13.1513399594769,0.139647018030737,0.0198852211041281,0.00280493467450157,0.000395578412941395
13.7711435166908,0.127217712495981,0.0164483629060746,0.00210994526083852,0.000270621853661202
14.420157515633,0.115829719872491,0.0135977177136602,0.00158583762375623,0.000184932123410165
15.0997586020101,0.105403999311602,0.0112341130152507,0.00119082786875706,0.000126221241904132
